bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
RA Jadeja,4,49,0,0,12.25,2015-04-17,Chennai Super Kings,Chennai Super Kings,0,Wankhede Stadium
RA Jadeja,4,29,0,1,7.25,2015-04-19,Chennai Super Kings,Rajasthan Royals,0,"Sardar Patel Stadium, Motera"
RA Jadeja,4,37,0,2,9.25,2015-04-22,Chennai Super Kings,Chennai Super Kings,0,M Chinnaswamy Stadium
RA Jadeja,4,22,0,3,5.5,2015-04-25,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,3,11,0,0,3.6666666666666665,2015-04-28,Kolkata Knight Riders,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,2,25,0,0,12.5,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,0,Eden Gardens
RA Jadeja,2,11,0,0,5.5,2015-05-04,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,4,27,0,0,6.75,2015-05-08,Mumbai Indians,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,4,11,0,4,2.75,2015-05-10,Rajasthan Royals,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,2,16,0,0,8.0,2015-05-12,Chennai Super Kings,Delhi Daredevils,0,Shaheed Veer Narayan Singh International Stadium
RA Jadeja,3,18,0,1,6.0,2015-05-16,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
RA Jadeja,2,18,0,1,9.0,2015-05-19,Mumbai Indians,Mumbai Indians,0,Wankhede Stadium
RA Jadeja,1,13,0,0,13.0,2015-05-22,Royal Challengers Bangalore,Chennai Super Kings,0,JSCA International Stadium Complex
RA Jadeja,2,26,0,0,13.0,2015-05-24,Chennai Super Kings,Mumbai Indians,0,Eden Gardens
RG More,4,31,0,1,7.75,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,0,Eden Gardens
RG More,2,28,0,0,14.0,2015-05-02,Chennai Super Kings,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
S Badree,4,34,0,1,8.5,2014-05-10,Chennai Super Kings,Chennai Super Kings,0,Wankhede Stadium
S Badree,4,19,0,1,4.75,2014-05-13,Rajasthan Royals,Chennai Super Kings,0,JSCA International Stadium Complex
S Badree,3,15,0,0,5.0,2014-05-18,Royal Challengers Bangalore,Royal Challengers Bangalore,0,JSCA International Stadium Complex
S Badree,3,29,0,0,9.666666666666666,2014-05-24,Chennai Super Kings,Chennai Super Kings,0,M Chinnaswamy Stadium
