bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
RV Gomez,1,12,0,0,12.0,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
S Aravind,4,20,0,2,5.0,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
S Ladda,1,13,0,0,13.0,2011-05-05,Kolkata Knight Riders,Kochi Tuskers Kerala,0,Nehru Stadium
S Sreesanth,3,28,0,1,9.333333333333334,2011-04-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Nehru Stadium
S Sreesanth,3,21,0,0,7.0,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,0,Dr DY Patil Sports Academy
S Sreesanth,4,22,1,0,5.5,2011-04-27,Deccan Chargers,Deccan Chargers,0,Nehru Stadium
S Sreesanth,4,10,1,2,2.5,2011-04-30,Delhi Daredevils,Delhi Daredevils,0,Nehru Stadium
S Sreesanth,4,24,0,1,6.0,2011-05-02,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Feroz Shah Kotla
S Sreesanth,3,24,0,0,8.0,2011-05-05,Kolkata Knight Riders,Kochi Tuskers Kerala,0,Nehru Stadium
S Sreesanth,4,38,0,0,9.5,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
S Sreesanth,4,16,0,2,4.0,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,0,Holkar Cricket Stadium
SB Jakati,3,30,0,0,10.0,2011-04-18,Chennai Super Kings,Kochi Tuskers Kerala,0,Nehru Stadium
SB Jakati,4,23,0,1,5.75,2011-05-18,Kochi Tuskers Kerala,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
SB Wagh,2,10,0,0,5.0,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,0,Dr DY Patil Sports Academy
SJ Srivastava,4,34,0,2,8.5,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
SK Raina,4,26,0,0,6.5,2011-05-18,Kochi Tuskers Kerala,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
SK Trivedi,4,19,0,4,4.75,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,0,Sawai Mansingh Stadium
SK Warne,4,16,0,3,4.0,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,0,Sawai Mansingh Stadium
SL Malinga,4,42,0,2,10.5,2011-04-15,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Wankhede Stadium
SR Watson,4,23,0,1,5.75,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,0,Sawai Mansingh Stadium
SW Tait,3,36,0,0,12.0,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,0,Holkar Cricket Stadium
Shakib Al Hasan,4,28,0,3,7.0,2011-04-20,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Eden Gardens
TG Southee,3,38,0,0,12.666666666666666,2011-04-18,Chennai Super Kings,Kochi Tuskers Kerala,0,Nehru Stadium
TM Dilshan,4,30,0,1,7.5,2011-04-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Nehru Stadium
TM Dilshan,1,8,0,0,8.0,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
UT Yadav,3,28,0,0,9.333333333333334,2011-04-30,Delhi Daredevils,Delhi Daredevils,0,Nehru Stadium
UT Yadav,1,23,0,0,23.0,2011-05-02,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Feroz Shah Kotla
V Kohli,2,14,0,1,7.0,2011-04-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Nehru Stadium
WD Parnell,4,35,0,4,8.75,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,0,Dr DY Patil Sports Academy
Y Gnaneswara Rao,1,7,0,0,7.0,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,0,Holkar Cricket Stadium
Y Nagar,1,15,0,0,15.0,2011-05-02,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Feroz Shah Kotla
YK Pathan,4,20,1,3,5.0,2011-04-20,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Eden Gardens
YK Pathan,3,16,0,1,5.333333333333333,2011-05-05,Kolkata Knight Riders,Kochi Tuskers Kerala,0,Nehru Stadium
Yuvraj Singh,1,12,0,0,12.0,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,0,Dr DY Patil Sports Academy
Z Khan,4,28,0,1,7.0,2011-04-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Nehru Stadium
Z Khan,4,26,0,1,6.5,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
