bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
CJ Jordan,1,12,0,0,12.0,2016-05-18,Kings XI Punjab,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
CJ McKay,4,36,0,1,9.0,2012-04-25,Mumbai Indians,Mumbai Indians,0,"Punjab Cricket Association Stadium, Mohali"
CK Kapugedera,1,8,0,0,8.0,2008-05-10,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
CK Langeveldt,4,48,0,2,12.0,2011-05-17,Royal Challengers Bangalore,Kings XI Punjab,0,Himachal Pradesh Cricket Association Stadium
CR Brathwaite,4,33,0,1,8.25,2016-04-15,Kings XI Punjab,Delhi Daredevils,0,Feroz Shah Kotla
CR Brathwaite,2,20,0,0,10.0,2016-05-07,Delhi Daredevils,Kings XI Punjab,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
CR Woakes,3,30,0,2,10.0,2017-04-13,Kings XI Punjab,Kolkata Knight Riders,0,Eden Gardens
CR Woakes,4,20,0,2,5.0,2017-05-09,Kolkata Knight Riders,Kings XI Punjab,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
CRD Fernando,4,36,0,1,9.0,2008-05-21,Kings XI Punjab,Kings XI Punjab,0,Wankhede Stadium
D Kalyankrishna,3,34,0,1,11.333333333333334,2008-05-01,Kings XI Punjab,Kings XI Punjab,0,"Rajiv Gandhi International Stadium, Uppal"
D Salunkhe,2,21,0,1,10.5,2008-04-21,Kings XI Punjab,Rajasthan Royals,0,Sawai Mansingh Stadium
D Salunkhe,3,23,0,0,7.666666666666667,2008-05-28,Rajasthan Royals,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
D Wiese,1,4,0,0,4.0,2015-05-06,Kings XI Punjab,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
D Wiese,2,17,0,1,8.5,2015-05-13,Royal Challengers Bangalore,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
DE Bollinger,4,39,0,0,9.75,2010-04-18,Chennai Super Kings,Chennai Super Kings,0,Himachal Pradesh Cricket Association Stadium
DJ Bravo,3,27,0,0,9.0,2008-04-25,Mumbai Indians,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
DJ Bravo,3,24,0,2,8.0,2009-04-29,Mumbai Indians,Kings XI Punjab,0,Kingsmead
DJ Bravo,2,17,0,2,8.5,2009-05-12,Mumbai Indians,Mumbai Indians,0,SuperSport Park
DJ Bravo,3,22,0,1,7.333333333333333,2010-03-30,Kings XI Punjab,Mumbai Indians,0,Brabourne Stadium
DJ Bravo,4,28,0,3,7.0,2012-04-28,Kings XI Punjab,Kings XI Punjab,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,3,18,0,2,6.0,2012-05-17,Chennai Super Kings,Kings XI Punjab,0,Himachal Pradesh Cricket Association Stadium
DJ Bravo,4,27,0,3,6.75,2013-04-10,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
DJ Bravo,4,34,0,3,8.5,2013-05-02,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,3,13,0,0,4.333333333333333,2015-04-25,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,2,20,0,1,10.0,2015-05-16,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
DJ Bravo,4,22,0,4,5.5,2016-04-11,Gujarat Lions,Gujarat Lions,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
DJ Bravo,4,33,0,2,8.25,2016-05-01,Kings XI Punjab,Kings XI Punjab,0,Saurashtra Cricket Association Stadium
DJ Harris,2,15,0,0,7.5,2012-05-08,Kings XI Punjab,Kings XI Punjab,0,"Rajiv Gandhi International Stadium, Uppal"
DJ Hooda,3,35,0,1,11.666666666666666,2015-04-21,Kings XI Punjab,0,tie,"Sardar Patel Stadium, Motera"
DJ Hooda,4,30,0,0,7.5,2016-04-23,Kings XI Punjab,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
DJ Hooda,1,17,0,0,17.0,2017-04-28,Sunrisers Hyderabad,Sunrisers Hyderabad,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
DJ Hussey,3,23,0,2,7.666666666666667,2008-05-03,Kolkata Knight Riders,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
DJ Hussey,4,36,0,0,9.0,2008-05-25,Kings XI Punjab,Kolkata Knight Riders,0,Eden Gardens
DJ Hussey,1,7,0,0,7.0,2010-03-27,Kolkata Knight Riders,Kolkata Knight Riders,0,"Punjab Cricket Association Stadium, Mohali"
DJ Hussey,1,13,0,0,13.0,2010-04-04,Kings XI Punjab,Kings XI Punjab,0,Eden Gardens
DJ Hussey,1,19,0,1,19.0,2011-04-23,Kings XI Punjab,Delhi Daredevils,0,Feroz Shah Kotla
DJ Hussey,2,19,0,0,9.5,2011-04-30,Kings XI Punjab,Kolkata Knight Riders,0,Eden Gardens
DJ Hussey,1,12,0,0,12.0,2012-04-22,Kings XI Punjab,Kings XI Punjab,0,Wankhede Stadium
DJ Hussey,2,9,0,0,4.5,2012-05-02,Kings XI Punjab,Kings XI Punjab,0,M Chinnaswamy Stadium
DJ Hussey,1,2,0,2,2.0,2012-05-08,Kings XI Punjab,Kings XI Punjab,0,"Rajiv Gandhi International Stadium, Uppal"
DJ Hussey,1,14,0,0,14.0,2012-05-13,Deccan Chargers,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
DJ Hussey,1,14,0,0,14.0,2013-04-16,Kolkata Knight Riders,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
DJ Hussey,4,14,0,0,3.5,2013-04-23,Kings XI Punjab,Kings XI Punjab,0,Feroz Shah Kotla
DJ Hussey,2,32,0,0,16.0,2013-04-29,Kings XI Punjab,Mumbai Indians,0,Wankhede Stadium
DJ Muthuswami,3,24,0,0,8.0,2015-04-15,Delhi Daredevils,Delhi Daredevils,0,Maharashtra Cricket Association Stadium
